title,url,text,date,title_lower,tagged,verbs,objects,subject,mil_subj
Not all millennials who still live with their parents are immature,http://nypost.com/2017/04/23/not-all-millennials-who-still-live-with-their-parents-are-immature/,"According to the four ""common milestones"" of adulthood, I'm not there yet.

And I'm not the only millennial supposedly falling behind.

A new report from the US Census Bureau looking at the state of young adults in America identifies ""four common milestones of adulthood"" as ""getting married, having children, working, and living independently."" In 1975, 45 percent of those between the ages of 25 and 34 had achieved all four. Now, it's down to 24 percent.

Millennials just won't grow up, right? Not quite. Maybe millennials are coursing a different path precisely because they want to do ""adulting"" well.

Living with your parents because you want free food and rent while you play video games in the basement is a disgrace. Living with your parents because you're saving to start a business or want to foster a close relationship shouldn't be embarrassing.

Ditto with other life choices. I'm not married because I value marriage: I'm waiting until I meet a guy I could realistically see myself spending the rest of my life with. And since I think children deserve to have a mom and a dad, I'm not going to rush into parenthood before marriage.

But having spent the past eight years of my life taking responsibility for my actions, making my own decisions in accordance with my goals and my values -- and, yes, assembling Ikea furniture -- I think I'm a grown-up, milestones be damned.

Because ultimately these milestones harshly limit the kind of life you can lead. For instance, my twentysomething brother, who is studying to be a Catholic priest, is on course to never ""achieve"" getting married and having children -- and his vow of poverty guarantees he'll never be boasting about financial independence.

But he's gearing up to spend a lifetime in prayer and helping men and women grow closer to God. That's hardly a sign of immaturity.

And it's easy to think of other cases where a person's goals make those ""milestones"" irrelevant: consciously choosing to focus, for a time, on a career that doesn't easily allow the work-life balance required for both men and women to be fair to one's family; spending months or years volunteering; forgoing financial independence, with Mom and Dad's approval, to pursue a start-up dream.

Of course, none of this makes those milestones not worth pursuing -- if that's what you want. Several of my friends married in their early 20s, and it's been a joy to see them set their own path and to watch their children grow up. And personally, I've loved financial independence, living on my own and having a career I've relished.

There's another problem with the Census criteria for adulthood: Many millennials might be making their life choices not out of convenience but necessity. Living at home because you want to be close to your parents is great; living at home because you can't afford to pay student loans without doing that isn't so great -- but it doesn't make you immature.

Ditto for those living at home because they can't find a job or a good-enough paying job -- possibly a consequence of higher minimum wages making it harder for young adults to score that vital first job.

On the relationships front, it's one thing to forgo marriage because you're determined to meet the right person in order to avoid divorce. It's another matter if marriage is being avoided because our culture's porn habits have made young adults less capable of intimacy, of the true vulnerability crucial to relationships -- or because they're determined to hold out, no matter how many years it takes to rack up the savings, to have a wedding all their social media ""friends"" will swoon over.

Likewise with children (a not-insignificant concern, given the declining US birth rate): If young adults are delaying because they've been scared by the outrageous standards and expectations fostered by our helicopter-parenting culture or by the intimidating cost projections of having kids that never seem to prominently include the fact that those costs per child can decline with more kids, thanks to bedroom sharing and hand-me-downs, that's a shame.

Yet ultimately, a new openness to what it means to be an adult could help liberate people to pursue their best lives. We all have different gifts and talents, leading to a variety of career and volunteering paths -- and while marriage and raising children is wonderful, cultivating richer relationships with friends, extended family and, yes, one's parents can bring their own joys.

Maybe the most ""adult"" realization of millennials is that it's nonsense to measure maturity by these milestones.",2017-04-24,not all millennials who still live with their parents are immature,Not all millennials who still live with their parents are immature,"['live', 'are']",['their parents'],"['millennials', 'who', 'are']",1.0
The new season of 'survivor' will pit generation x against millennials in a feud of stereotypes,http://uproxx.com/tv/survivor-trailer-millennials-vs-gen-x/,"When CBS announced in March that its long-running reality television series Survivor would return for a 33rd season in the fall, absolutely no one was surprised. Or at least nobody should have been, because host Jeff Probst's cash cow will live on forever and always, long after the rest of the viewing population dies during the post-apocalyptic nuclear winter finally dissipates. (Survivor will squeeze at least 10 seasons out of the fallout.) This is especially true for show's themed runs, the latest of witch pits equally whiny members of Generation X and the current plague of Millennials against one another.

According to Team Gen X's Chris, ""It's hard work. It's not how fast I can type it on Google and find the answer. The Millennials, they don't have a clue what their life is going to be like or what they're doing. They don't have a plan. They certainly haven't been battle-tested. If you haven't ever been knocked down, then you don't know how to get up and fight.""

Never fear, Team Millennials, because Taylor is here to defend your honor with quips about ""older generations."" Like his argument that ""they've been brainwashed with this, 'You have to have a career. You have to do A, B, C, D.' I'm a free man. I don't like to be caged. You can do whatever the hell you want. I'm going to go do it. #SoulSurvivor.""

This is going to be fantastically horrible, and I'll probably watch every minute of it.",2016-05-22,the new season of 'survivor' will pit generation x against millennials in a feud of stereotypes,The New Season Of 'Survivor' Will Pit Generation X Against Millennials In A Feud Of Stereotypes,[],"[""'Survivor"", 'Millennials', 'A Feud', 'Stereotypes']","['season', 'of', 'x', 'in']",0.0
Has this pastor 'discovered the secret' to reaching millennials?,http://www.mailtribune.com/news/20160920/has-this-pastor-discovered-secret-to-reaching-millennials?rssfeed=true,"Some churches in the District of Columbia have uncovered the ""secret"" to reaching millennials -- or so proclaims the headline of a recent Washington Post story.

The District Church, a house of worship in Washington led by 36-year-old pastor Aaron Graham, is the primary church mentioned in the piece, as Graham is among the faith leaders who have successfully courted young adults living in the capital.

In fact, the church, which sees around 600 parishioners attend on Sundays, is primarily composed of millennials -- individuals between the ages of 18 and 33.

For anyone paying attention, this is a notable feat, considering that much has been said about the tendency of America's young adults to be less religiously affiliated than their predecessors.

Graham's apparent success comes as many churches cope with the task of courting a millennial generation that seems less and less engaged.

Just two years ago, the Pew Research Center found that the proportion of Americans who called themselves ""nones"" -- those who are either atheist, agnostic or unaffiliated with a faith -- increased from 16.1 percent to 22.8 percent between 2007 and 2014.

Among millennials who were born between 1981 and 1996, though, this proportion was even higher at 35 percent. To put that into perspective, more millennials reject a religious label than identify as evangelicals (21 percent), Catholics (16 percent) or mainline Protestants (11 percent), according to Pew.

It's not only about labels, though, as perceptions and practices also paint a picture in which millennials are less devout than earlier generations. Only 41 percent say religion is very important to them, just 27 percent attend church weekly, and only 52 percent are absolutely certain that God exists.

The key question, of course, is, ""Why?""

Some might point to an increasingly secular culture, though New York University sociology professor Michael Hout has speculated that millennials were raised by baby boomers who emphasized the importance of critical thinking, leading to a ""do-it-yourself"" mentality on faith.

It's important to note that there are also indications that millennials are even less religious at this point in their lives than were members of earlier generations, and that matters -- at least when it comes to overarching demographics.

Dr. Jessica Martinez, a research associate at Pew, told TheBlaze it seems something called ""generational replacement"" is at play.

""This generation is much more religiously unaffiliated than older generations,"" she said. ""As the younger are replacing older, it's shifting the landscape in this way.""

So, getting back to the District Church, let's briefly explore how Graham appears to be courting millennials.

As a nondenominational Christian house of worship, District Church is ""intentionally multicultural"" and emphasizes doing good works in the community, while also embracing what the Post called ""unfiltered evangelism.""

Graham said he believes many young people are engaged with their faith but the church experience must feel authentic and truly reach them at their core.

""My dream is that when young people think about changing the world, they'll think about doing it with a local church,"" he told the Post. ""They'll have a theology about how to treat people, about where it all fits.""

District Church is like other houses of worship in Washington, such as Grace Capital City, Triumph Church and The Table in that the experience at each is participatory in nature, bringing members into the worship process.

Small groups -- tiny gatherings of like-minded believers where people discuss scripture and life -- are also used.

Since Pew's millennial results were made public, many have issued tips for churches looking to attract millennials. Interestingly, some of these tips square nicely with what Graham, among others, are doing at their churches.

Some recommendations include allowing for leadership roles for young people, being authentic and employing small groups.

Experts like Ed Stetzer, executive director of the Billy Graham Center for Evangelism at Wheaton College, have also dived deep into tactics about how to reach -- and retain -- millennials.

""The first clear pattern among churches that are reaching young adults is that they tend to be more contemporary,"" he wrote in a 2014 blog post. ""They are engaged with culture and are aware of societal trends, helping young adults think through their context with discerning, biblical eyes.""

Like others, Stetzer emphasized being authentic and caring for the downtrodden and outcasts.

""One of the best ways to find out how to reach millennials is to get to know them,"" he wrote. ""Talk with those in their 20s and early 30s. Discover their likes and dislikes. Ask for their input. Actually befriend them.""",2016-09-25,has this pastor 'discovered the secret' to reaching millennials?,Has this pastor 'discovered the secret' to reaching millennials?,"['Has', 'discovered', 'reaching']","['the secret', 'millennials']","['pastor', 'discovered']",0.0
What's the password? millennials among leaders in getting streaming tv for free,http://www.mercurynews.com/whats-the-password-millennials-among-leaders-in-getting-streaming-tv-for-free,"It's no secret that people would rather get something for free than pay for it. And faced with the possibility of paying $10.99 a month for Netflix or getting it for nothing, it should come as no surprise that someone might want to use another person's password to log in and binge on the latest season of ""Orange Is The New Black.""

And when it comes to password sharing for streaming TV services, millennials lead the way in getting something for nothing. That's according to the results of a study on streaming-video watching habits from media and entertainment research firm Magid.

The 2018 Magid Video Entertainment Survey, which included 2,000 Americans from the ages of 8 to 64, showed that when it comes to millienials, 26 percent of the group uses the password from someone else's account to watch shows on a streaming TV service such as Netflix, Hulu, or Amazon Prime Video. Magid defines millennials as consumers between the ages of 22 and 40.

But, even more than millennials, those in the 18-to-21 age bracket like to stream their TV shows with the password of someone paying for the service, with 27 percent of the group, which Magid calls ""Adult Plurals"", doing so.

Jill Rosengard Hill, of Magid, said the high rate of streaming TV password sharing among millennials is indicative of what she called the ""shared economy,"" in which participants of a group try to save money and help out their friends at the same time.

""For them, it's no different than having their parents pay for their insurance or their cell phone,"" Hill said. ""What many do is someone will subscribe to Netflix, while someone else will subscribe to Hulu, and they will swap passwords with each other. That way, they can say they are each paying for something.""

Hill said he concept of password sharing is definitely more in vogue with younger streaming TV viewers. The Magid study showed 10 percent of Gen Xers, those between the ages of 41 and 51, share streaming TV passwords, while just 8 percent of Baby Boomers do so.

One of the ongoing questions involving password sharing is how much money the likes of Netflix and Hulu are losing in the process. Netflix allows for five individual profiles with one paid account, while a Hulu account can have up to six profiles. However, the multi-profile feature is intended to be used by different members of the same family so that they can watch shows they prefer. Sharing passwords with friends, or others not under the same roof, is a different matter.

""How much money is its worth?' asked Hill. ""It's really hard to say. But it's going to be a bigger question as more and more streaming TV services become available.""",2018-08-21,what's the password? millennials among leaders in getting streaming tv for free,What's the password? Millennials among leaders in getting streaming TV for free,"[""'s"", 'getting', 'streaming']","['leaders', 'streaming TV']","[""'s"", 'password', 'millennials']",1.0
Millennials mad at this advert,http://www.stuff.co.nz/business/world/90395459/Sleep-deprivation-is-your-drug-of-choice-Fiverrs-UK-campaign-criticised,"People have been angered by a campaign they feel glorifies work-life struggles.

A poster aimed at young freelancers has been accused of promoting unhealthy work-life.

The advert by Fiverr, a website where freelancers can offer services, reads: ""You eat a coffee for lunch. You follow through on your follow through. Sleep deprivation is your drug of choice. You might be a doer.""

The poster is part of a campaign that Fiverr is continuing to push forward. The In Doers We Trust project portrays professionals in the gig economy as overworked, rather than hardworking, struggling with poor job security as a result of part time jobs and apps, Attn reports.

But people took to Twitter to express how they really felt about the campaign.

Fiverr's global head of digital, Chris Lane, explained to Attn that the poster was part of a well thought-out and researched campaign for its community and their mindsets.

""We want people to get out of their comfort zones, challenge them to think about their lives and if they are doing everything they can to achieve success.The storytelling pushes against bureaucratic over thinking, analysis-paralysis, and the kind of excessive white boarding too many of us associate with corporate meeting rooms all over the world.

""With a diverse set of subjects, our creative highlights how anyone with an idea can work to make it a reality with the right amount of dedication,"" Lane told Attn.",2017-03-13,millennials mad at this advert,Millennials mad at this advert,[],['this advert'],"['millennials', 'mad']",1.0
Millennials will be parents living in suburbs by time midtown east is ready for redevelopment,https://therealdeal.com/2017/07/20/millennials-will-be-parents-living-in-suburbs-by-time-midtown-east-is-ready-for-redevelopment/,"If Council approves proposal, only 3 sites suitable to develop in near future: Cushman

The City Council's Committee on Land Use is set to vote next week on the proposal to rezone 78 blocks in Midtown East, which is projected to create 6.5 million square feet of new office space over the next two decades.

Should the committee approve the plan and the full Council give the final thumbs up in August, however, only a small handful of the 16 sites the city's identified for redevelopment could get started in the near term.

""Of those 16, many of them have multiple ownership, the single ownership properties have 20, 30 [or] 40 tenants in the building with various lease expirations so they're not being vacated anytime soon,"" Bob Knakal, chair of New York investment sales at Cushman & Wakefield, said at the brokerage's midyear media breakfast Thursday.

Knakal said there are only three sites that are suitable for redevelopment in the next three to five years: the W hotel at 541 Lexington Avenue, Pfizer's two properties at 218 and 235 East 42nd Street and the InterContinental Barclay Hotel at 11 East 48th Street, which just underwent a $180 million renovation.

""The fact is, if the Midtown rezoning passes next week, it will tangibly impact the market in 2027 to 2037,"" he said.

But that might just be the right timing for a resurgence around Grand Central Terminal.

Cushman executive vice chair Dale Schlather said that 10 to 20 years is when millennials will be moving out of the city into the suburbs, which will once again drive demand for office space back into the Plaza District.",2017-07-24,millennials will be parents living in suburbs by time midtown east is ready for redevelopment,Millennials will be parents living in suburbs by time Midtown East is ready for redevelopment,"['will', 'be', 'living', 'is']","['suburbs', 'time', 'redevelopment']","['millennials', 'be', 'east']",1.0
"Millennials are snapping up the ânetflix of chinaâ â"" and the stock has doubled in less than 3 months (iq)",http://markets.businessinsider.com/news/stocks/iqiyi-stock-price-netflix-of-china-millennial-investors-2018-6-1027018211,"Shares of iQiyi -- the Baidu-owned video service widely seen as the Netflix of China -- has more than doubled since its US initial public offering less than three months ago.

As its stock has skyrocketed from $18 at the IPO to $37 on Thursday, the streaming video service has become a darling for millennial investors on the stock trading app Robinhood, whose users skew markedly younger than that of traditional brokerages. The stock is now held by 31,302 Robinhood investors, the site's data shows, making it the 30th most held stock. It first appeared in the top 100 in late May.

Ten-year-old iQiyi began trading on the Nasdaq stock exchange in March after being spun off by the Chinese search giant Baidu. The offering raised $2.25 billion for the video service, which currently boasts 61 million subscribers. For comparison, Netflix has more than 100 million worldwide, but Chinese regulations have hindered its expansion in the country.

Its success in trading so far has led to optimism on Wall Street. Both Goldman Sachs and Credit Suisse have positive ratings for the stock.",2018-06-14,"millennials are snapping up the ânetflix of chinaâ â"" and the stock has doubled in less than 3 months (iq)","Millennials are snapping up the âNetflix of Chinaâ â"" and the stock has doubled in less than 3 months (IQ)","['are', 'snapping', 'has', 'doubled']","['the â\x80\x98Netflix', 'less than 3 months']","['millennials', 'snapping', 'stock']",1.0
Millennials at work don't see themselves as millennials,http://www.theepochtimes.com/n3/2069487-millennials-at-work-dont-see-themselves-as-millennials/,"Reading the headlines on Gen Y, Gen X, and millennials it's clear many people believe distinct generational categories exist, that there are very real differences between them, and that organizations must manage these differences. Others write articles claiming there is battle raging between one generation and another.

But there is very little empirical evidence to substantiate most claims about generational differences. In fact, an increasing amount of work published in recent years has begun to question the veracity of generational research.

Young professionals are often expected to start first, work through lunch, leave last, and yet get paid the least. Despite this, critique of youth is a recurring pattern throughout Western history. While many people born before 1980 seem ready to bemoan the apparent shortcomings of millennials, or those ""bloody Gen Ys,"" they seem to forget that people said the same thing about them when they were growing up.

So it becomes important to ask, when people are talking about ""kids these days,"" are they really talking about the kids, or are they taking part in a millennia-old tradition of criticizing youth? And amid all the chatter, why is it that the one group of people who are (somewhat ironically) not asked to figure out what it means to be young at work, is the young at work?

Last year I spent three months interviewing young professionals in the advertising industry in Sydney, Australia, about what age and generations meant to them at work.

Interviews were framed as a discussion about their experiences and perspectives of being young in the industry. In the later stages of the interview, I would ask participants if they were familiar with the term ""generations"" and asked them what it meant to them.

I found that while young professionals knew that people categorized them as millennials, or Gen Ys, and they knew that these were categories they fell into, they did not see themselves as millennials or Gen Ys. This was the case for many participants. One was Kathryn, who when asked if she had heard the term generation and what it meant to her replied:

""That term annoys me because I am supposed to be Gen Y and if you read everything that is about Gen Y then it's not really how I see myself, and I don't like the fact that you have the boxes you have to fit in.""

Kathryn's response was similar to many participants who saw generational categories, such as Gen Y or millennials as a quite negative stereotype.

Participants who said they were familiar with generational archetypes were asked whether they associated or identified themselves with a generation. Participants such as Christine explained how in the context of work, the most important thing was attitude, personality, and how you treat others.

""No, I think more important than generation is or, I guess, more important than an age, or being defined by your age is your behavior and I mean, and I think whether you are coming into a new job at 20, or 30, or 50, I think it's more about the way you present yourself and your attitudes towards the job more that, that has more impact on anyone than age, personally, that's my personal opinion. And I mean, that is always the way that I have always tried to sort of portray myself, I don't portray myself as this young, 20 year old that has no idea what I want to do, you know I, I work hard to prove myself, and you know, and I think people look more favorably at that.""

Interestingly, participants like Christine alluded to the concern about being labelled as young, which could undermine their credibility. Because of this, many actively worked to avoid portraying themselves as such.

Almost all of participants expressed similar sentiment, that while they knew other people considered them a Gen Y, this was not who they felt they were -- they just wanted to work hard, prove themselves, and be a part of a team.

While this study was only small, the data would suggest that, at the very least, not all millennials are millennials as we think we know them.

Steven David Hitchcock is tutor in work and organizational studies at the University of Sydney in Australia. This article was originally published on The Conversation.",2016-05-18,millennials at work don't see themselves as millennials,Millennials at Work Don't See Themselves as Millennials,"['Do', 'See']","['Work', 'Themselves', 'Millennials']","['millennials', 'see']",1.0
We had millennials try chick-fil-a for the first time,http://www.businessinsider.com/millennials-try-chick-fil-a-first-time-taste-test-2018-5,"Chick-fil-A is a fan favorite among many for fast food restaurants. The biggest location in NYC opened right near the Insider Inc. office, so we fed some millennials who have never tried the chain's food. Following is a transcript of the video.

Katie Warren: I never tried Chick-fil-A because there weren't any where I grew up in Montana.

Sophie-Claire Hoeller: I grew up in Europe. I don't think there is a single Chick-fil-A in Europe, so...

Fabiana Buontempo: I am expecting this to be the best fast food meal that I've ever had.

Callie Ahlgrim: I feel like it has this weird cult following on Twitter. I want to be blown away.

Abby Tang: I think it's just going to be fine.

Sophie-Claire Hoeller: I'm expecting a delicious chicken sandwich that will hopefully change my life because there are so many people obsessed with Chick-fil-A.

Jen Osaki: Ooh, this is a nice bag. Oh! My sandwich kind of already fell apart. It's kind of deflated, but it's nice because it doesn't look like a McDonald's patty, where it's like a pulverized chicken patty.

Sophie-Claire Hoeller: It's very squishy bread. I don't like that already.

Nick Fernandez: It smells like cafeteria food that I had in elementary school. This is a very sad chicken sandwich. I don't know how I feel about this. Everybody's been raving about Chick-fil-A and I'm just sitting here like, ""Mmm, I don't know.""

The Taste Test

Jen Osaki: Mmm... That's surprising! There's like a little bit of a crunch. But the chicken itself is kind of salty.

María González Romero: Overall taste, I would say good. Texture, I did not like that much. I like the sauce.

Callie Ahlgrim: The pickles and the bun have a very distinct Big Mac flavor. I don't really like hamburgers, but I've had a Big Mac, and it's not that great.

Jen Atalla: This is way better than what I was expecting.

Olivia Singh: I'm not really a fan of pickles. But I think the amount in this sandwich is pretty good.

Jen Atalla: Here, let's just look at these beautiful fries. These fries are way better than other fast food fries.

Nick Fernandez: The fries aren't bad. They're pretty good. They're not too salty for me. They're very standard fries.

María González Romero: [laughing] I don't like them.

Sophie-Claire Hoeller: I'm a big fan of soggy McDonald's fries and these are a little crispier. They're okay. They're a little potato-y for me.

Olivia Singh: I don't think I would try the fries again. But the sandwich, definitely.

Abby Tang: I was expecting to like it more. It's got all the fuss. People love Chick-fil-A. People are super excited about it. Like the one that just opened around the corner, there are lines still coming out the door, I think. But why?

Callie Ahlgrim: I'm not disappointed. But I'm not over the moon about it. So, I feel like with fast food, with something that's so obviously detrimental to my human body, I need to love it in order to really indulge in it.",2018-05-17,we had millennials try chick-fil-a for the first time,We had millennials try Chick-fil-A for the first time,"['had', 'try']","['Chick-fil-A', 'the first time']","['we', 'had', 'millennials']",1.0
What millennials can learn about finances from pokémon go,http://www.huffingtonpost.com/michael-ruderman/what-millennials-can-lear_b_11059682.html,"So, if you're one of the millions of millennials swept up in the Poké craze, here's a starter set of personal finance tips, in the Pokémon Go language I know you will understand.

1. Level up in Pokémon. Level up in income.

The single most important thing you can do for your financial health is to make more money. With more income, you can save more. So, level up your negotiation skills, or find a new job if you're not being paid your market value. Sites like Glassdoor can give you insight into how much you should be paid at your level. Also, seek out opportunities with longer-term financial benefits like 401k matching and bonus potential.

2. Unlike in Pokémon Go, join multiple teams.

In Pokémon Go, you pick your team, and you pick it once. Maybe you're a better fit for Team Mystic (calm and smart), Team Valor (strong and hardworking), or Team Instinct (trusting your gut). But in the real world, you can combine more than one skill and join more than one team to bring in extra income. Are you a good writer? You can write for popular company blogs as a freelancer. Do you have a car and a few extra hours each weekend? Consider signing up for Uber or Lyft as a driver. Did you crush your SATs and get into a really good college? Think about being an admissions tutor.

3. Have too many Pokémon? Have too many subscriptions? Get rid of them!

Rumors are that Niantic, the maker of Pokémon Go, will add a new feature that lets users trade their Pokémon with friends. If you don't need them or use them, let them go. The same can be said for any monthly subscriptions that you don't need. Take a hard look at that Birchbox membership, Netflix account, or gym membership if it goes untouched. This is often an easy way to save money every month. Just make sure you save it and don't spend it.

4. The best things in the game, as in life, are free!

It's hard to succeed at Pokémon Go sitting on your couch. You have to go out into the world, walk or run from place to place, and experience your city. And you can earn points just for playing successfully. It's a good reminder that there are amazing, rewarding things in this world that don't cost money. Does your city or town do free movies in the park during the summer? When did you and your significant other last cook dinner together? Are you near an ocean, lake, or pond that you can swim in this summer or skate on this winter? You might even catch a rare Pokémon there.

5. That egg doesn't hatch by itself!

In Pokémon Go, you might have to walk 5 kilometers to hatch your 5k egg. In the real world, that nest egg requires work, as well. Take the extra mile to make sure you're actually contributing to your retirement savings. If your company offers a 401k, make sure you are siphoning off a chunk every paycheck that is directly deposited into your retirement account. If you don't work at a company with a 401k, you can still save into an IRA.",2016-07-20,what millennials can learn about finances from pokémon go,What Millennials Can Learn About Finances From Pokémon Go,"['Can', 'Learn']","['What', 'Finances', 'Pokémon']","['millennials', 'go']",1.0
